AttPercent	SuspensionCount 	IsMoble	IsMale	IsWhite	IsBlack	IsAsian	IsOtherRace	IsELL	IsUrbanRsd	HighNeeds	IsFreeLunch	IsReducedLunch	IsSpecialEd	IsFirstLangEng	IsMcasElaP	IsMcasElaNI	IsMcasElaW	IsMcasElaP	IsMcasElaNI	IsMcasElaW	LogCount	M1CourseCount(<B)	Q1CourseCount(<B)	Q2CourseCount(<B)	Q3CourseCount(<B)	Q4CourseCount(<B)	Y1Fail
0.892523364	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	3	1	1
0.827102804	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	3	0	1	0	0	0	0
0.981308411	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.897196262	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0
0.91588785	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.962616822	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	2	0	3	4	2	0	1
0.710280374	4	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	49	0	2	2	1	0	0
1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0
0.822429907	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	6	0	0	3	2	2	0
0.841121495	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.771028037	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
0.878504673	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	3	1	0	2	1
0.76635514	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	3	2	1	1
0.953271028	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
0.803738318	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	2	3	2	4	1
0.682242991	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	3	0	3	2	0	2	1
0.869158879	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0
